Nome,Capacidade,Latitude,Longitude,Descrição
Museu de Ciências da Terra,Informação Indisponível,-22.953.661.654.753.300,-4.317.033.144.893.580,"Localizado no Instituto de Geociências da USP, aborda temas relacionados à geologia e paleontologia."
Museu de Microbiologia,Informação Indisponível,-23.567.429.898.237.100,-4.671.906.740.473.400,"Espaço educacional na USP, que explora o mundo microscópico e a importância dos microrganismos."
Museu de Zoologia da USP,Informação Indisponível,-23.588.028.425.208.600,-4.661.029.566.610.190,"Acervo científico com espécies animais, exposições educativas e atividades interativas."
Museu do Futebol,200,-2.354.774.116.179.330,-4.666.513.640.265.590,"Instalado no Estádio do Pacaembu, o museu conta a história do futebol brasileiro de forma interativa e envolvente."
Museu do Futebol Feminino,200,-2.354.750.510.563.840,-4.666.514.713.357.040,Dedicado à história e às conquistas do futebol feminino no Brasil e no mundo.
Museu do Ipiranga,Informação Indisponível,-23.585.334.771.452.500,-4.660.971.182.549.650,"Importante museu histórico situado no Parque da Independência, retratando a história do Brasil."
Museu do Transporte Público Gaetano Ferolla,70,-2.352.458.766.168.930,-46.625.026.691.242.300,Exibe a evolução dos transportes públicos na cidade de São Paulo ao longo dos anos.
Parque Burle Marx,Informação Indisponível,-23.633.351.329.673.400,-4.672.218.290.265.440,"Jardim paisagístico projetado pelo renomado paisagista Roberto Burle Marx, com trilhas e lagos."
Parque da Água Branca,Informação Indisponível,-2.353.055.680.172.180,-4.667.005.803.357.100,"Espaço verde com zoológico, feira orgânica e atividades culturais, localizado na zona oeste."
Parque Estadual da Cantareira,Informação Indisponível,-23.454.200.707.087.500,-46.635.965.933.573.900,"Maior floresta urbana do mundo, oferece trilhas, cachoeiras e uma rica biodiversidade."
Parque Ibirapuera,16000,-23.584.245.347.459.300,-46.655.792.826.481.800,"Maior parque urbano de São Paulo, oferece áreas verdes, lagos, museus e espaços culturais."
Parque Zoológico de São Paulo,6500,-23.650.636.614.012.300,-4.662.042.804.705.960,"Um dos maiores zoológicos do Brasil, abriga uma variedade de espécies animais."
Pico do Jaraguá,Informação Indisponível,-23.457.544.891.788.500,-46.765.235.159.015.100,"Ponto mais alto da cidade de São Paulo, oferece trilhas e uma vista panorâmica da região."
Pinacoteca do Estado de São Paulo,1800,-23.534.479.215.791.400,-4.663.393.349.678.840,"Museu de artes visuais com uma vasta coleção de obras brasileiras, localizado no Parque da Luz."
Planetário do Ibirapuera,300,-2.358.421.538.656.900,-46.660.945.891.239.900,"Oferece projeções astronômicas e exposições sobre o universo, localizado no Parque Ibirapuera."
Rua 25 de Março,Informação Indisponível,-2.354.343.689.985.930,-4.663.251.990.473.500,"Famosa rua de comércio popular, conhecida por suas lojas e variedade de produtos."
Templo de Salomão,10000,-23.537.290.949.634.400,-466.060.603.322.735,"Templo da Igreja Universal do Reino de Deus, conhecido por sua arquitetura grandiosa."
Theatro Municipal de São Paulo,1523,-23.545.018.395.283.300,-4.663.850.771.637.930,"Importante teatro lírico e palco de apresentações artísticas variadas, situado no centro da cidade."
